state,x,y
Satu Mare,-163 ,184
Bihor,-215 ,114 
Arad,-245 ,39 
Timis,-271 ,-20 
Caras-Severin,-216, -89
Mehedinti,-165 ,-130 
Dolj,-105 ,-181 
Olt,-41 ,-171 
Teleorman,10 ,-187 
Giurgiu,67 ,-175 
Bucuresti,79 ,-149 
Calarasi,145 ,-167 
Ialomita,157 ,-134 
Constanta,242 ,-172 
Tulcea,254 ,-93 
Braila,192 ,-85 
Galati,199 ,-17 
Vaslui,200 ,60 
Iasi,165 ,133 
Botosani,121 ,195 
Suceava,46 ,176 
Maramures,-85 ,179 
Salaj,-142 ,124 
Cluj,-114 ,82 
Bistrita,-36 ,131 
Mures,-26 ,65 
Harghita,34 ,71 
Neamt,90 ,106 
Bacau,130 ,54 
Alba,-115 ,17 
Hunedoara,-159 ,-26 
Gorj,-126 ,-95 
Valcea,-68 ,-88 
Sibiu,-58 ,-8 
Covasna,72 ,-5 
Brasov,24 ,-22 
Arges,-17 ,-94 
Dambovita,26 ,-124 
Prahova,76 ,-92 
Buzau,122 ,-68 
Vrancea,134 ,-14 